<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
11.09.2018;104390;104430;104390;104410
11.09.2018;104390;104440;104390;104390
11.09.2018;104370;104370;104350;104350
11.09.2018;104360;104360;104350;104360
11.09.2018;104340;104360;104340;104360
11.09.2018;104420;104420;104420;104420
11.09.2018;104400;104400;104370;104370
11.09.2018;104370;104370;104370;104370
11.09.2018;104400;104400;104360;104360
11.09.2018;104430;104430;104400;104420
11.09.2018;104450;104450;104440;104440
11.09.2018;104380;104440;104370;104440
11.09.2018;104480;104810;104480;104660
11.09.2018;104690;104740;104670;104690
11.09.2018;104670;104670;104620;104620
11.09.2018;104620;104620;104620;104620
11.09.2018;104610;104610;104610;104610
11.09.2018;104610;104670;104600;104600
11.09.2018;104640;104640;104550;104600
11.09.2018;104600;104600;104600;104600
11.09.2018;104580;104600;104580;104600
11.09.2018;104600;104620;104600;104620
11.09.2018;104580;104580;104550;104560
11.09.2018;104590;104670;104580;104600
11.09.2018;104570;104600;104570;104600
11.09.2018;104610;104670;104610;104670
11.09.2018;104600;104600;104600;104600
11.09.2018;104570;104570;104570;104570
11.09.2018;104600;104600;104560;104560
11.09.2018;104560;104560;104560;104560
11.09.2018;104510;104550;104500;104500
11.09.2018;104500;104510;104500;104510
11.09.2018;104510;104510;104510;104510
11.09.2018;104510;104510;104510;104510
11.09.2018;104500;104500;104500;104500
11.09.2018;104520;104520;104520;104520
11.09.2018;104490;104550;104470;104550
11.09.2018;104550;104560;104550;104560
11.09.2018;104640;104700;104640;104700
11.09.2018;104700;104700;104640;104640
11.09.2018;104660;104660;104660;104660
11.09.2018;104680;104680;104680;104680
11.09.2018;104620;104620;104620;104620
11.09.2018;104610;104610;104610;104610
11.09.2018;104650;104650;104650;104650
11.09.2018;104680;104720;104680;104720
11.09.2018;104670;104670;104670;104670
11.09.2018;104650;104650;104630;104630
11.09.2018;104620;104620;104620;104620
11.09.2018;104640;104640;104640;104640
11.09.2018;104670;104670;104670;104670
11.09.2018;104640;104670;104630;104640
11.09.2018;104630;104650;104630;104650
11.09.2018;104650;104700;104650;104700
11.09.2018;104650;104650;104650;104650
11.09.2018;104640;104640;104640;104640
11.09.2018;104620;104620;104620;104620
11.09.2018;104630;104700;104630;104700
11.09.2018;104670;104670;104670;104670
11.09.2018;104640;104640;104450;104530
11.09.2018;104580;104580;104540;104540
11.09.2018;104500;104500;104370;104370
11.09.2018;104430;104500;104430;104500
11.09.2018;104490;104490;104490;104490
11.09.2018;104430;104490;104430;104460
11.09.2018;104470;104470;104470;104470
11.09.2018;104480;104480;104470;104470
11.09.2018;104480;104480;104470;104470
11.09.2018;104450;104450;104450;104450
11.09.2018;104460;104460;104460;104460
11.09.2018;104460;104460;104460;104460
11.09.2018;104470;104470;104460;104460
11.09.2018;104540;104540;104540;104540
11.09.2018;104550;104550;104550;104550
11.09.2018;104520;104520;104520;104520
11.09.2018;104480;104480;104480;104480
11.09.2018;104440;104440;104440;104440
11.09.2018;104380;104420;104370;104380
11.09.2018;104360;104360;104340;104350
11.09.2018;104360;104360;104350;104350
11.09.2018;104370;104370;104370;104370
11.09.2018;104370;104370;104370;104370
11.09.2018;104390;104420;104390;104420
11.09.2018;104450;104450;104400;104400
11.09.2018;104400;104400;104400;104400
11.09.2018;104430;104430;104430;104430
11.09.2018;104400;104400;104400;104400
11.09.2018;104420;104420;104420;104420
11.09.2018;104470;104470;104470;104470
11.09.2018;104500;104500;104500;104500
11.09.2018;104490;104490;104490;104490
11.09.2018;104530;104540;104500;104500
11.09.2018;104540;104540;104540;104540
11.09.2018;104540;104540;104540;104540
11.09.2018;104530;104570;104530;104570
11.09.2018;104580;104590;104570;104570
11.09.2018;104570;104600;104570;104600
11.09.2018;104640;104640;104590;104590
11.09.2018;104630;104630;104630;104630
11.09.2018;104630;104650;104630;104650
11.09.2018;104630;104630;104630;104630
11.09.2018;104650;104650;104650;104650
11.09.2018;104630;104630;104630;104630
11.09.2018;104610;104610;104600;104600
11.09.2018;104600;104600;104590;104590
11.09.2018;104580;104580;104580;104580
11.09.2018;104580;104580;104580;104580
11.09.2018;104590;104590;104590;104590
11.09.2018;104680;104720;104680;104720
11.09.2018;104750;104750;104740;104740
11.09.2018;104760;104760;104760;104760
11.09.2018;104750;104800;104750;104800
11.09.2018;104780;104780;104780;104780
11.09.2018;104810;104930;104810;104830
11.09.2018;104850;104850;104850;104850
11.09.2018;104850;104860;104850;104860
11.09.2018;104870;104930;104870;104900
11.09.2018;104850;104850;104850;104850
11.09.2018;104880;104880;104880;104880
11.09.2018;104880;104890;104880;104890
11.09.2018;104880;104880;104880;104880
11.09.2018;104920;104940;104920;104920
11.09.2018;104880;104880;104880;104880
11.09.2018;104930;104930;104930;104930
11.09.2018;104930;104930;104930;104930
11.09.2018;104920;104920;104920;104920
11.09.2018;104920;104920;104920;104920
11.09.2018;104920;104920;104920;104920
11.09.2018;104900;104900;104900;104900
11.09.2018;104910;104910;104900;104900
11.09.2018;104890;105090;104890;105090
11.09.2018;105080;105080;105080;105080
11.09.2018;105070;105130;105070;105130
11.09.2018;105110;105150;105110;105150
11.09.2018;105100;105100;105100;105100
11.09.2018;105100;105110;105100;105100
11.09.2018;105150;105190;105150;105190
11.09.2018;105200;105200;105180;105180
11.09.2018;105180;105180;105180;105180
11.09.2018;105180;105200;105180;105200
09.10.2018;116090;116760;116090;116500
09.10.2018;116500;116550;116420;116460
09.10.2018;116460;116480;116370;116390
09.10.2018;116390;116450;116300;116370
09.10.2018;116370;116560;116370;116550
09.10.2018;116550;116670;116540;116620
09.10.2018;116620;116680;116590;116630
09.10.2018;116630;116690;116600;116630
09.10.2018;116620;116670;116580;116660
09.10.2018;116650;116680;116600;116630
09.10.2018;116640;116700;116620;116670
09.10.2018;116660;116700;116600;116610
09.10.2018;116610;116620;116580;116590
09.10.2018;116590;116600;116530;116580
09.10.2018;116560;116590;116530;116550
09.10.2018;116540;116620;116510;116600
09.10.2018;116600;116720;116590;116710
09.10.2018;116710;116770;116680;116750
09.10.2018;116760;116770;116690;116710
09.10.2018;116710;116750;116680;116730
09.10.2018;116740;116850;116720;116810
09.10.2018;116810;116890;116810;116840
09.10.2018;116830;116900;116790;116820
09.10.2018;116830;116880;116820;116850
09.10.2018;116840;116930;116830;116880
09.10.2018;116880;116940;116810;116820
09.10.2018;116820;116830;116670;116670
09.10.2018;116670;116780;116670;116760
09.10.2018;116760;116800;116670;116680
09.10.2018;116680;116720;116620;116660
09.10.2018;116660;116690;116570;116590
09.10.2018;116600;116690;116580;116610
09.10.2018;116590;116700;116580;116650
09.10.2018;116660;116720;116660;116690
09.10.2018;116690;116700;116590;116690
09.10.2018;116680;116710;116640;116660
09.10.2018;116690;116780;116690;116780
09.10.2018;116780;116800;116750;116780
09.10.2018;116770;116820;116760;116760
09.10.2018;116760;116830;116720;116730
09.10.2018;116730;116760;116670;116710
09.10.2018;116710;116780;116690;116700
09.10.2018;116700;116700;116480;116530
09.10.2018;116530;116600;116530;116570
09.10.2018;116570;116590;116510;116570
09.10.2018;116570;116580;116530;116570
09.10.2018;116580;116580;116540;116560
09.10.2018;116560;116570;116540;116540
09.10.2018;116540;116540;116500;116510
09.10.2018;116510;116540;116460;116510
09.10.2018;116510;116540;116500;116540
09.10.2018;116530;116580;116520;116580
09.10.2018;116570;116590;116500;116500
09.10.2018;116500;116570;116500;116570
09.10.2018;116570;116630;116550;116630
09.10.2018;116630;116630;116520;116520
09.10.2018;116510;116550;116500;116520
09.10.2018;116520;116570;116510;116540
09.10.2018;116540;116580;116500;116500
09.10.2018;116520;116590;116520;116570
09.10.2018;116570;116640;116560;116560
09.10.2018;116560;116570;116370;116430
09.10.2018;116450;116510;116410;116510
09.10.2018;116510;116530;116480;116520
09.10.2018;116510;116530;116490;116530
09.10.2018;116520;116530;116460;116490
09.10.2018;116500;116540;116480;116540
09.10.2018;116540;116580;116520;116570
09.10.2018;116570;116690;116550;116680
09.10.2018;116680;116880;116680;116820
09.10.2018;116820;116850;116770;116780
09.10.2018;116770;116790;116730;116770
09.10.2018;116770;116790;116730;116740
09.10.2018;116730;116740;116690;116700
09.10.2018;116710;116790;116710;116760
09.10.2018;116750;116790;116750;116770
09.10.2018;116760;116770;116720;116730
09.10.2018;116750;116760;116720;116740
09.10.2018;116730;116800;116730;116800
09.10.2018;116790;116810;116750;116760
09.10.2018;116750;116790;116730;116760
09.10.2018;116770;116780;116710;116730
09.10.2018;116740;116770;116740;116750
09.10.2018;116760;116810;116750;116800
09.10.2018;116800;116810;116760;116760
09.10.2018;116760;116770;116690;116720
09.10.2018;116720;116750;116620;116710
09.10.2018;116710;116740;116700;116720
09.10.2018;116730;116750;116640;116690
09.10.2018;116690;116720;116630;116640
09.10.2018;116630;116690;116570;116690
09.10.2018;116680;116720;116670;116690
09.10.2018;116700;116720;116670;116710
09.10.2018;116720;116740;116700;116710
09.10.2018;116720;116790;116720;116750
09.10.2018;116750;116780;116720;116770
09.10.2018;116790;116810;116770;116790
09.10.2018;116790;116810;116780;116790
09.10.2018;116790;116800;116710;116740
09.10.2018;116720;116760;116700;116750
09.10.2018;116750;116750;116690;116710
09.10.2018;116730;116730;116620;116620
09.10.2018;116620;116700;116620;116680
09.10.2018;116690;116710;116650;116710
09.10.2018;116720;116740;116690;116720
09.10.2018;116730;116780;116720;116750
09.10.2018;116770;116790;116740;116760
09.10.2018;116750;116770;116740;116760
09.10.2018;116750;116770;116750;116760
09.10.2018;116750;116800;116750;116800
09.10.2018;116800;116840;116790;116820
09.10.2018;116810;116820;116770;116770
09.10.2018;116770;116790;116740;116740
09.10.2018;116760;116810;116740;116800
09.10.2018;116800;116830;116780;116830
09.10.2018;116830;116990;116830;116970
09.10.2018;116980;117030;116930;117000
09.10.2018;117000;117010;116920;116930
09.10.2018;116930;116980;116920;116930
09.10.2018;116940;117010;116940;117010
09.10.2018;117010;117020;116920;116950
09.10.2018;116950;117000;116930;116990
09.10.2018;116970;116970;116890;116920
09.10.2018;116930;116940;116900;116930
09.10.2018;116940;116940;116880;116890
09.10.2018;116890;116930;116880;116920
09.10.2018;116900;116910;116870;116880
09.10.2018;116880;116890;116850;116850
09.10.2018;116860;116870;116810;116860
09.10.2018;116860;116910;116840;116890
09.10.2018;116890;116950;116860;116930
09.10.2018;116940;116950;116850;116850
09.10.2018;116850;116880;116820;116850
09.10.2018;116860;116910;116860;116900
09.10.2018;116900;116950;116880;116930
09.10.2018;116920;116930;116850;116910
09.10.2018;116900;116920;116880;116920
09.10.2018;116920;116920;116880;116880
09.10.2018;116870;116890;116850;116850
09.10.2018;116870;116890;116820;116840
09.10.2018;116820;116840;116670;116680
09.10.2018;116680;116780;116680;116770
09.10.2018;116760;116770;116690;116720
09.10.2018;116700;116760;116700;116740
09.10.2018;116750;116770;116710;116730
09.10.2018;116740;116770;116710;116750
09.10.2018;116740;116750;116690;116690
09.10.2018;116700;116700;116550;116570
09.10.2018;116570;116640;116560;116580
09.10.2018;116590;116600;116470;116510
09.10.2018;116510;116540;116420;116520
09.10.2018;116510;116530;116460;116480
09.10.2018;116490;116510;116440;116460
09.10.2018;116460;116520;116460;116470
09.10.2018;116490;116530;116490;116520
09.10.2018;116510;116540;116470;116470
09.10.2018;116470;116490;116410;116460
09.10.2018;116460;116500;116430;116460
09.10.2018;116470;116480;116380;116390
09.10.2018;116390;116410;116270;116380
09.10.2018;116380;116400;116330;116390
09.10.2018;116400;116400;116310;116370
09.10.2018;116370;116390;116310;116380
09.10.2018;116380;116380;116340;116380
09.10.2018;116380;116430;116360;116420
09.10.2018;116410;116410;116320;116400
09.10.2018;116380;116410;116340;116400
09.10.2018;116400;116400;116280;116340
09.10.2018;116350;116360;116280;116300
09.10.2018;116300;116360;116300;116330
09.10.2018;116330;116430;116330;116400
09.10.2018;116410;116410;116360;116370
09.10.2018;116370;116400;116330;116360
09.10.2018;116380;116410;116330;116360
09.10.2018;116370;116400;116300;116310
09.10.2018;116310;116320;116140;116240
09.10.2018;116240;116260;116160;116180
09.10.2018;116200;116200;116140;116190
09.10.2018;116180;116190;116120;116140
09.10.2018;116150;116180;116120;116170
09.10.2018;116180;116190;116050;116060
